district,year,composite_lean,expected_d_share,actual_d_share,residual,abs_residual,severity,auto_explanation,contested
19,2022,0.0943,0.4689,0.6197,0.1508,0.1508,high,redistricting_artifact,True
94,2022,-0.1127,0.2619,0.3964,0.1346,0.1346,moderate,redistricting_artifact,True
14,2022,0.0567,0.4313,0.5559,0.1246,0.1246,moderate,redistricting_artifact,True
8,2022,0.1917,0.5662,0.6839,0.1176,0.1176,moderate,redistricting_artifact,True
43,2022,0.1505,0.5251,0.6416,0.1165,0.1165,moderate,redistricting_artifact,True
72,2022,-0.0016,0.3730,0.4878,0.1148,0.1148,moderate,redistricting_artifact,True
40,2022,-0.2008,0.1738,0.2834,0.1097,0.1097,moderate,redistricting_artifact,True
61,2022,-0.0663,0.3083,0.4130,0.1047,0.1047,moderate,redistricting_artifact,True
27,2022,0.0811,0.4557,0.5591,0.1034,0.1034,moderate,redistricting_artifact,True
64,2022,0.0152,0.3898,0.4910,0.1011,0.1011,moderate,redistricting_artifact,True
