district,composite_lean,gov_2018_lean,statewide_avg_2018_lean,uss_2018_lean,pre_2020_lean,gov_2022_lean,statewide_avg_2022_lean,uss_2022_lean,pre_2024_lean,uss_2024_lean,dem_votes_2018,rep_votes_2018,dem_share_2018,margin_2018,winner_2018,contested_2018,dem_votes_2020,rep_votes_2020,dem_share_2020,margin_2020,winner_2020,contested_2020,dem_votes_2022,rep_votes_2022,dem_share_2022,margin_2022,winner_2022,contested_2022,dem_votes_2024,rep_votes_2024,dem_share_2024,margin_2024,winner_2024,contested_2024,candidate_effect_2024,candidate_effect_2022,candidate_effect_2020,candidate_effect_2018
18,0.434190,0.408582,0.415801,0.375863,0.439463,0.442231,0.454645,0.428598,0.445054,0.418906,,,,,,False,,,,,,False,,,,,,False,50276,5991,0.893526,0.787051,D,True,0.015902,,,
20,0.422616,0.421221,0.429384,0.388654,0.432026,0.408703,0.441608,0.416036,0.425695,0.405575,,,,,,False,,,,,,False,18904.000000,0.000000,1.000000,1.000000,D_uncontested,False,27309,4678,0.853753,0.707506,D,True,-0.012297,,,
22,0.394338,0.391651,0.403014,0.363252,0.403476,0.371152,0.406167,0.382620,0.410421,0.395146,,,,,,False,,,,,,False,,,,,,False,35522,5617,0.863463,0.726926,D,True,0.025691,,,
25,0.381378,0.351333,0.356245,0.322280,0.382362,0.398142,0.407170,0.376623,0.387697,0.364279,,,,,,False,,,,,,False,23195.000000,6604.000000,0.778382,0.556764,D,True,34264,6517,0.840195,0.680390,D,True,0.015384,0.022423,,
3,0.370548,0.363410,0.359017,0.329349,0.373544,0.389347,0.388436,0.364771,0.355082,0.343732,,,,,,False,,,,,,False,22756.000000,5458.000000,0.806550,0.613100,D,True,28838,0,1.000000,1.000000,D_uncontested,False,,0.061421,,
1,0.365645,0.343579,0.337181,0.314790,0.365668,0.387479,0.381568,0.367946,0.366625,0.352123,,,,,,False,,,,,,False,31494.000000,0.000000,1.000000,1.000000,D_uncontested,False,35739,0,1.000000,1.000000,D_uncontested,False,,,,
13,0.312171,0.296265,0.300190,0.274267,0.293789,0.336540,0.335025,0.325222,0.302743,0.298732,27620.000000,7769.000000,0.780469,0.560937,D,True,33647.000000,11621.000000,0.743284,0.486569,D,True,26228.000000,8638.000000,0.752251,0.504503,D,True,34532,10625,0.764710,0.529420,D,True,0.009105,0.065499,-0.028120,-0.012452
2,0.311872,0.312652,0.311481,0.285508,0.325481,0.306901,0.319852,0.301564,0.308366,0.302757,,,,,,False,,,,,,False,21475.000000,0.000000,1.000000,1.000000,D_uncontested,False,32142,0,1.000000,1.000000,D_uncontested,False,,,,
21,0.311296,0.291638,0.307668,0.278446,0.322490,0.303947,0.320585,0.308777,0.326237,0.310750,,,,,,False,,,,,,False,29205.000000,10499.000000,0.735568,0.471136,D,True,42376,11116,0.792193,0.584386,D,True,0.037463,0.049691,,
38,0.302783,0.298179,0.308311,0.283095,0.315629,0.286245,0.318471,0.297620,0.307059,0.297943,,,,,,False,,,,,,False,20205.000000,0.000000,1.000000,1.000000,D_uncontested,False,34877,0,1.000000,1.000000,D_uncontested,False,,,,
33,0.273932,0.277909,0.272254,0.246324,0.279537,0.280851,0.284865,0.273646,0.259312,0.253561,,,,,,False,,,,,,False,23459.000000,8064.000000,0.744187,0.488374,D,True,37146,0,1.000000,1.000000,D_uncontested,False,,0.095674,,
24,0.273560,0.246019,0.251646,0.226797,0.285803,0.284804,0.286741,0.269482,0.280350,0.265780,,,,,,False,,,,,,False,21764.000000,9024.000000,0.706899,0.413798,D,True,27744,10526,0.724954,0.449909,D,True,0.007961,0.058758,,
7,0.246585,0.203492,0.185284,0.188877,0.262263,0.267280,0.255286,0.264027,0.269000,0.252331,,,,,,False,,,,,,False,37060.000000,0.000000,1.000000,1.000000,D_uncontested,False,44243,0,1.000000,1.000000,D_uncontested,False,,,,
26,0.245232,0.203949,0.204509,0.186483,0.256320,0.259881,0.261076,0.253331,0.264936,0.242991,,,,,,False,,,,,,False,,,,,,False,42296,18926,0.690863,0.381726,D,True,0.002197,,,
9,0.228827,0.217061,0.210938,0.196537,0.247552,0.227177,0.232708,0.227100,0.235147,0.232062,,,,,,False,,,,,,False,23320.000000,0.000000,1.000000,1.000000,D_uncontested,False,28020,0,1.000000,1.000000,D_uncontested,False,,,,
42,0.210895,0.251004,0.251016,0.239531,0.219325,0.166837,0.221265,0.212992,0.200241,0.201464,,,,,,False,,,,,,False,,,,,,False,28382,0,1.000000,1.000000,D_uncontested,False,,,,
8,0.191668,0.148943,0.134950,0.138031,0.210994,0.202738,0.198287,0.206268,0.220132,0.205755,,,,,,False,,,,,,False,33436.000000,15455.000000,0.683889,0.367777,D,True,36054,19829,0.645169,0.290339,D,True,0.010068,0.117640,,
