district,statewide_d_pct,prob_hold,risk_level
18,43.0,1.0,low
20,43.0,1.0,low
22,43.0,1.0,low
25,43.0,1.0,low
3,43.0,1.0,low
1,43.0,1.0,low
13,43.0,1.0,low
2,43.0,1.0,low
21,43.0,1.0,low
38,43.0,1.0,low
33,43.0,1.0,low
24,43.0,1.0,low
7,43.0,0.9999,low
26,43.0,0.9999,low
9,43.0,0.9997,low
42,43.0,0.9988,low
8,43.0,0.9983,low
43,43.0,0.9741,low
41,43.0,0.9239,low
5,43.0,0.8979,low
16,43.0,0.8871,low
6,43.0,0.8998,low
4,43.0,0.8595,low
11,43.0,0.7335,moderate
58,43.0,0.7029,moderate
19,43.0,0.7133,moderate
28,43.0,0.7532,moderate
34,43.0,0.6286,moderate
27,43.0,0.6134,moderate
53,43.0,0.5714,high
15,43.0,0.5277,high
14,43.0,0.3698,high
10,43.0,0.338,high
23,43.0,0.2305,high
18,43.5,1.0,low
20,43.5,1.0,low
22,43.5,1.0,low
25,43.5,1.0,low
3,43.5,1.0,low
1,43.5,1.0,low
13,43.5,1.0,low
2,43.5,1.0,low
21,43.5,1.0,low
38,43.5,1.0,low
33,43.5,1.0,low
24,43.5,1.0,low
7,43.5,1.0,low
26,43.5,1.0,low
9,43.5,0.9998,low
42,43.5,0.9992,low
8,43.5,0.9989,low
43,43.5,0.9806,low
41,43.5,0.9382,low
5,43.5,0.9159,low
16,43.5,0.9065,low
6,43.5,0.9201,low
4,43.5,0.886,low
11,43.5,0.7712,moderate
58,43.5,0.7392,moderate
19,43.5,0.7513,moderate
28,43.5,0.8043,low
34,43.5,0.6762,moderate
27,43.5,0.6618,moderate
53,43.5,0.6177,moderate
15,43.5,0.5705,high
14,43.5,0.418,high
10,43.5,0.3822,high
23,43.5,0.2712,high
18,44.0,1.0,low
20,44.0,1.0,low
22,44.0,1.0,low
25,44.0,1.0,low
3,44.0,1.0,low
1,44.0,1.0,low
13,44.0,1.0,low
2,44.0,1.0,low
21,44.0,1.0,low
38,44.0,1.0,low
33,44.0,1.0,low
24,44.0,1.0,low
7,44.0,1.0,low
26,44.0,1.0,low
9,44.0,0.9999,low
42,44.0,0.9994,low
8,44.0,0.9992,low
43,44.0,0.9856,low
41,44.0,0.9503,low
5,44.0,0.9314,low
16,44.0,0.9233,low
6,44.0,0.9371,low
4,44.0,0.9087,low
11,44.0,0.8056,low
58,44.0,0.773,moderate
19,44.0,0.7866,moderate
28,44.0,0.8484,low
34,44.0,0.7211,moderate
27,44.0,0.7077,moderate
53,44.0,0.6622,moderate
15,44.0,0.6125,moderate
14,44.0,0.4674,high
10,44.0,0.428,high
23,44.0,0.3152,high
18,44.5,1.0,low
20,44.5,1.0,low
22,44.5,1.0,low
25,44.5,1.0,low
3,44.5,1.0,low
1,44.5,1.0,low
13,44.5,1.0,low
2,44.5,1.0,low
21,44.5,1.0,low
38,44.5,1.0,low
33,44.5,1.0,low
24,44.5,1.0,low
7,44.5,1.0,low
26,44.5,1.0,low
9,44.5,0.9999,low
42,44.5,0.9996,low
8,44.5,0.9995,low
43,44.5,0.9895,low
41,44.5,0.9605,low
5,44.5,0.9446,low
16,44.5,0.9377,low
6,44.5,0.9512,low
4,44.5,0.9279,low
11,44.5,0.8367,low
58,44.5,0.8043,low
19,44.5,0.8187,low
28,44.5,0.8853,low
34,44.5,0.7627,moderate
27,44.5,0.7504,moderate
53,44.5,0.7047,moderate
15,44.5,0.6532,moderate
14,44.5,0.5174,high
10,44.5,0.4748,high
23,44.5,0.362,high
18,45.0,1.0,low
20,45.0,1.0,low
22,45.0,1.0,low
25,45.0,1.0,low
3,45.0,1.0,low
1,45.0,1.0,low
13,45.0,1.0,low
2,45.0,1.0,low
21,45.0,1.0,low
38,45.0,1.0,low
33,45.0,1.0,low
24,45.0,1.0,low
7,45.0,1.0,low
26,45.0,1.0,low
9,45.0,0.9999,low
42,45.0,0.9997,low
8,45.0,0.9997,low
43,45.0,0.9924,low
41,45.0,0.9689,low
5,45.0,0.9557,low
16,45.0,0.9499,low
6,45.0,0.9626,low
4,45.0,0.9438,low
11,45.0,0.8644,low
58,45.0,0.8328,low
19,45.0,0.8476,low
28,45.0,0.9154,low
34,45.0,0.8007,low
27,45.0,0.7896,moderate
53,45.0,0.7445,moderate
15,45.0,0.6922,moderate
14,45.0,0.5671,high
10,45.0,0.5219,high
23,45.0,0.411,high
18,45.5,1.0,low
20,45.5,1.0,low
22,45.5,1.0,low
25,45.5,1.0,low
3,45.5,1.0,low
1,45.5,1.0,low
13,45.5,1.0,low
2,45.5,1.0,low
21,45.5,1.0,low
38,45.5,1.0,low
33,45.5,1.0,low
24,45.5,1.0,low
7,45.5,1.0,low
26,45.5,1.0,low
9,45.5,1.0,low
42,45.5,0.9998,low
8,45.5,0.9998,low
43,45.5,0.9946,low
41,45.5,0.9757,low
5,45.5,0.9649,low
16,45.5,0.9601,low
6,45.5,0.9717,low
4,45.5,0.9568,low
11,45.5,0.8887,low
58,45.5,0.8584,low
19,45.5,0.8733,low
28,45.5,0.9391,low
34,45.5,0.8347,low
27,45.5,0.8249,low
53,45.5,0.7812,moderate
15,45.5,0.7291,moderate
14,45.5,0.6157,moderate
10,45.5,0.5688,high
23,45.5,0.4613,high
18,46.0,1.0,low
20,46.0,1.0,low
22,46.0,1.0,low
25,46.0,1.0,low
3,46.0,1.0,low
1,46.0,1.0,low
13,46.0,1.0,low
2,46.0,1.0,low
21,46.0,1.0,low
38,46.0,1.0,low
33,46.0,1.0,low
24,46.0,1.0,low
7,46.0,1.0,low
26,46.0,1.0,low
9,46.0,1.0,low
42,46.0,0.9999,low
8,46.0,0.9999,low
43,46.0,0.9962,low
41,46.0,0.9813,low
5,46.0,0.9725,low
16,46.0,0.9686,low
6,46.0,0.9789,low
4,46.0,0.9672,low
11,46.0,0.9097,low
58,46.0,0.8813,low
19,46.0,0.8958,low
28,46.0,0.9572,low
34,46.0,0.8648,low
27,46.0,0.8562,low
53,46.0,0.8148,low
15,46.0,0.7637,moderate
14,46.0,0.6626,moderate
10,46.0,0.6146,moderate
23,46.0,0.5123,high
18,46.5,1.0,low
20,46.5,1.0,low
22,46.5,1.0,low
25,46.5,1.0,low
3,46.5,1.0,low
1,46.5,1.0,low
13,46.5,1.0,low
2,46.5,1.0,low
21,46.5,1.0,low
38,46.5,1.0,low
33,46.5,1.0,low
24,46.5,1.0,low
7,46.5,1.0,low
26,46.5,1.0,low
9,46.5,1.0,low
42,46.5,0.9999,low
8,46.5,0.9999,low
43,46.5,0.9974,low
41,46.5,0.9857,low
5,46.5,0.9787,low
16,46.5,0.9755,low
6,46.5,0.9845,low
4,46.5,0.9755,low
11,46.5,0.9276,low
58,46.5,0.9014,low
19,46.5,0.9152,low
28,46.5,0.9708,low
34,46.5,0.8908,low
27,46.5,0.8835,low
53,46.5,0.8449,low
15,46.5,0.7957,moderate
14,46.5,0.7071,moderate
10,46.5,0.659,moderate
23,46.5,0.5632,high
18,47.0,1.0,low
20,47.0,1.0,low
22,47.0,1.0,low
25,47.0,1.0,low
3,47.0,1.0,low
1,47.0,1.0,low
13,47.0,1.0,low
2,47.0,1.0,low
21,47.0,1.0,low
38,47.0,1.0,low
33,47.0,1.0,low
24,47.0,1.0,low
7,47.0,1.0,low
26,47.0,1.0,low
9,47.0,1.0,low
42,47.0,1.0,low
8,47.0,1.0,low
43,47.0,0.9982,low
41,47.0,0.9892,low
5,47.0,0.9836,low
16,47.0,0.9811,low
6,47.0,0.9888,low
4,47.0,0.982,low
11,47.0,0.9426,low
58,47.0,0.9189,low
19,47.0,0.9318,low
28,47.0,0.9805,low
34,47.0,0.9131,low
27,47.0,0.9069,low
53,47.0,0.8717,low
15,47.0,0.825,low
14,47.0,0.7486,moderate
10,47.0,0.7012,moderate
23,47.0,0.6129,moderate
18,47.5,1.0,low
20,47.5,1.0,low
22,47.5,1.0,low
25,47.5,1.0,low
3,47.5,1.0,low
1,47.5,1.0,low
13,47.5,1.0,low
2,47.5,1.0,low
21,47.5,1.0,low
38,47.5,1.0,low
33,47.5,1.0,low
24,47.5,1.0,low
7,47.5,1.0,low
26,47.5,1.0,low
9,47.5,1.0,low
42,47.5,1.0,low
8,47.5,1.0,low
43,47.5,0.9988,low
41,47.5,0.9919,low
5,47.5,0.9875,low
16,47.5,0.9855,low
6,47.5,0.992,low
4,47.5,0.9869,low
11,47.5,0.9551,low
58,47.5,0.9339,low
19,47.5,0.9458,low
28,47.5,0.9874,low
34,47.5,0.9317,low
27,47.5,0.9266,low
53,47.5,0.895,low
15,47.5,0.8515,low
14,47.5,0.7868,moderate
10,47.5,0.7409,moderate
23,47.5,0.6609,moderate
18,48.0,1.0,low
20,48.0,1.0,low
22,48.0,1.0,low
25,48.0,1.0,low
3,48.0,1.0,low
1,48.0,1.0,low
13,48.0,1.0,low
2,48.0,1.0,low
21,48.0,1.0,low
38,48.0,1.0,low
33,48.0,1.0,low
24,48.0,1.0,low
7,48.0,1.0,low
26,48.0,1.0,low
9,48.0,1.0,low
42,48.0,1.0,low
8,48.0,1.0,low
43,48.0,0.9992,low
41,48.0,0.994,low
5,48.0,0.9906,low
16,48.0,0.9891,low
6,48.0,0.9944,low
4,48.0,0.9906,low
11,48.0,0.9653,low
58,48.0,0.9467,low
19,48.0,0.9574,low
28,48.0,0.992,low
34,48.0,0.9472,low
27,48.0,0.943,low
53,48.0,0.9151,low
15,48.0,0.8751,low
14,48.0,0.8214,low
10,48.0,0.7777,moderate
23,48.0,0.7064,moderate
