district_num,alloc_B01003_001E,alloc_B03002_001E,alloc_B03002_003E,alloc_B03002_004E,alloc_B03002_012E,alloc_B15003_001E,alloc_B15003_022E,alloc_B15003_023E,alloc_B15003_024E,alloc_B15003_025E,alloc_B25003_001E,alloc_B25003_002E,alloc_pop_weight,alloc_income_wt,alloc_age_wt,total_pop,white_pct,black_pct,hispanic_pct,college_pct,owner_occ_pct,median_income,median_age,district_land_area_sqmi,pop_density
1,114629.281710,114629.281710,57115.708962,38233.292949,9128.254413,75246.772871,17473.743203,7432.841027,2829.859450,1535.692255,51427.727068,19279.568157,114629.281710,6790337602.307756,3936958.217856,114629.281710,0.498265,0.333539,0.079633,0.389015,0.374887,59237.373741,34.345136,28.021518,4090.759215
2,120465.184704,120465.184704,39534.131059,61019.118307,9266.877773,81603.527280,12469.264773,4185.891591,562.366154,286.886751,50023.894516,23741.258400,120465.184704,6860429299.004452,4511894.176794,120465.184704,0.328179,0.506529,0.076926,0.214506,0.474598,56949.477277,37.453927,36.183845,3329.253288
3,115809.478801,115809.478801,48613.511754,47187.204731,9344.424843,70120.726571,13161.416541,5858.796823,1199.898737,1125.514277,45281.976202,19284.354144,115809.478801,6337122843.236365,3700538.264907,115809.478801,0.419771,0.407455,0.080688,0.304413,0.425873,54720.243186,31.953673,23.103561,5012.624628
4,124698.102763,124698.102763,86659.393222,18597.938436,4334.606215,86206.033226,29237.349686,13403.368241,3462.158930,1583.467144,50229.378188,34726.526449,124698.102763,14812423099.478321,4876881.571452,124698.102763,0.694954,0.149144,0.034761,0.553167,0.691359,118786.274781,39.109509,66.004997,1889.222154
5,126158.743773,126158.743773,63379.689980,43015.206346,7602.560408,84734.985178,14657.091923,5411.184336,774.045631,457.593446,51318.522066,28579.956836,126158.743773,9304445676.725157,4649181.167253,126158.743773,0.502380,0.340961,0.060262,0.251371,0.556913,73751.889076,36.851835,86.354078,1460.947140
6,108601.295278,108601.295278,67302.514136,15432.459093,14974.709215,70505.439027,15381.052735,5386.032854,1282.251915,672.957735,43491.018894,23174.679930,108601.295278,8216724778.170868,3720181.425871,108601.295278,0.619721,0.142102,0.137887,0.322277,0.532861,75659.546759,34.255406,30.629636,3545.628050
7,109676.837268,109676.837268,86036.831374,4540.654551,5063.695865,71033.378785,28733.299514,14287.658260,6209.743290,3713.234903,48230.362900,23070.084304,109676.837268,11037280358.482307,3884612.803439,109676.837268,0.784458,0.041400,0.046169,0.745339,0.478331,100634.560892,35.418716,26.775040,4096.234288
8,113631.848473,113631.848473,82192.569284,9336.006411,6764.698364,80846.723520,28012.919752,14332.548555,2913.889670,2444.906405,50619.259891,26332.025599,113631.848473,11388509249.709581,4274131.845488,113631.848473,0.723323,0.082160,0.059532,0.590058,0.520198,100222.863596,37.613855,29.450707,3858.374248
9,123359.530069,123359.530069,54099.162170,42603.229196,11817.642512,82446.376627,18243.421985,7205.312127,1037.576272,1165.890094,49935.047467,24335.932814,123359.530069,9000938413.494497,4377936.347565,123359.530069,0.438549,0.345358,0.095798,0.335396,0.487352,72965.083512,35.489243,25.287993,4878.185933
10,119787.136737,119787.136737,88541.648680,14909.233992,7782.630757,84878.256633,16038.977769,5918.080345,1407.170364,1377.766288,48764.907902,30287.641034,119787.136737,9646018171.708761,4517686.910370,119787.136737,0.739158,0.124464,0.064971,0.291500,0.621095,80526.327237,37.714291,65.611434,1825.705205
11,125331.876404,125331.876404,92095.930681,5157.800117,5939.867721,86598.657384,31405.551681,16690.581634,4022.955297,3168.671483,51656.857750,31414.575666,125331.876404,15905978124.986176,4799301.498868,125331.876404,0.734816,0.041153,0.047393,0.638437,0.608140,126910.875201,38.292744,66.152764,1894.582619
12,122979.484219,122979.484219,107467.552877,5445.692459,3956.791385,86603.539028,13882.848085,4916.787377,947.648807,483.506033,43700.724764,33081.749550,122979.484219,9754184991.883595,4997697.518986,122979.484219,0.873866,0.044281,0.032174,0.233602,0.757007,79315.546441,40.638465,1033.146936,119.033876
13,119739.805065,119739.805065,75604.683081,16256.298406,19692.970426,86213.112017,21067.727707,9136.739583,2379.952031,1456.692576,59108.765148,22917.290638,119739.805065,6559071054.270114,4257762.153425,119739.805065,0.631408,0.135764,0.164465,0.394848,0.387714,54777.699452,35.558452,18.307111,6540.617194
14,121891.245326,121891.245326,90871.823388,10351.656690,13617.383464,88751.044105,13910.472913,5102.322172,891.781629,358.835325,53285.169455,34714.693062,121891.245326,7615355382.344004,5102164.382492,121891.245326,0.745516,0.084925,0.111717,0.228317,0.651489,62476.639417,41.858333,27.793684,4385.573590
