district,statewide_d_pct,win_prob,sigma_i,sigma_source,incumbency_shift
18,40.0,1.0,0.046243258224299005,prior_only,0.0
20,40.0,1.0,0.046243258224299005,prior_only,0.0
22,40.0,1.0,0.046243258224299005,prior_only,0.0
25,40.0,1.0,0.04549751675684551,shrunk_2pt,0.0
3,40.0,1.0,0.046243258224299005,prior_only,0.0
1,40.0,1.0,0.046243258224299005,prior_only,0.0
13,40.0,1.0,0.02327909372548424,shrunk_4pt,0.0
2,40.0,1.0,0.046243258224299005,prior_only,0.0
21,40.0,1.0,0.0444732248868849,shrunk_2pt,0.0
38,40.0,1.0,0.046243258224299005,prior_only,0.0
33,40.0,0.9999,0.046243258224299005,prior_only,0.0
24,40.0,1.0,0.03931674119938526,shrunk_2pt,0.0
7,40.0,0.9992,0.046243258224299005,prior_only,0.0
26,40.0,0.9992,0.046243258224299005,prior_only,0.0
9,40.0,0.9973,0.046243258224299005,prior_only,0.0
42,40.0,0.9918,0.046243258224299005,prior_only,0.0
8,40.0,0.9864,0.04149445919805966,shrunk_2pt,0.0
43,40.0,0.8888,0.04141207229588298,shrunk_2pt,0.0
41,40.0,0.7832,0.046243258224299005,prior_only,0.0
5,40.0,0.7327,0.046243258224299005,prior_only,0.0
16,40.0,0.7132,0.046243258224299005,prior_only,0.0
6,40.0,0.7012,0.03987976648050284,shrunk_2pt,0.0
4,40.0,0.6236,0.03929644674190579,shrunk_2pt,0.0
11,40.0,0.4635,0.041946262280916496,shrunk_2pt,0.0
58,40.0,0.4538,0.046243258224299005,prior_only,0.0
19,40.0,0.4475,0.04316857399821586,shrunk_2pt,0.0
28,40.0,0.363,0.028988076157790803,shrunk_4pt,0.0
34,40.0,0.3279,0.03876463319237573,shrunk_2pt,0.0
27,40.0,0.3131,0.03869462782660454,shrunk_2pt,0.0
53,40.0,0.2961,0.04192091505846978,shrunk_2pt,0.0
15,40.0,0.2812,0.046243258224299005,prior_only,0.0
14,40.0,0.1391,0.03990244416748726,shrunk_2pt,0.0
10,40.0,0.1298,0.04229098671158475,shrunk_2pt,0.0
31,40.0,0.1397,0.046243258224299005,prior_only,0.0
23,40.0,0.0661,0.03905647775388147,shrunk_2pt,0.0
36,40.0,0.0584,0.03932308887968287,shrunk_2pt,0.0
49,40.0,0.0537,0.03895325034755685,shrunk_2pt,0.0
52,40.0,0.0451,0.038724948948183756,shrunk_2pt,0.0
35,40.0,0.0751,0.046243258224299005,prior_only,0.0
64,40.0,0.0266,0.043845325043149565,shrunk_2pt,0.0
17,40.0,0.0289,0.046243258224299005,prior_only,0.0
60,40.0,0.0235,0.046243258224299005,prior_only,0.0
39,40.0,0.0109,0.04047903264826666,shrunk_2pt,0.0
72,40.0,0.0178,0.04831661441098122,shrunk_2pt,0.0
32,40.0,0.0062,0.0408933423742721,shrunk_2pt,0.0
44,40.0,0.0107,0.046243258224299005,prior_only,0.0
75,40.0,0.0025,0.03869207221304435,shrunk_2pt,0.0
37,40.0,0.0052,0.046243258224299005,prior_only,0.0
29,40.0,0.004,0.046243258224299005,prior_only,0.0
89,40.0,0.0005,0.040486447600887855,shrunk_2pt,0.0
73,40.0,0.0008,0.046243258224299005,prior_only,0.0
68,40.0,0.0007,0.046243258224299005,prior_only,0.0
57,40.0,0.0,0.0386898982492774,shrunk_2pt,0.0
59,40.0,0.0004,0.046243258224299005,prior_only,0.0
70,40.0,0.0,0.0390067544937981,shrunk_2pt,0.0
65,40.0,0.0002,0.046243258224299005,prior_only,0.0
56,40.0,0.0,0.03954543516689933,shrunk_2pt,0.0
74,40.0,0.0,0.03885677339974896,shrunk_2pt,0.0
45,40.0,0.0,0.039497491958850224,shrunk_2pt,0.0
61,40.0,0.0,0.040505534023629886,shrunk_2pt,0.0
54,40.0,0.0,0.042460330670396784,shrunk_2pt,0.0
66,40.0,0.0,0.03881097456312374,shrunk_2pt,0.0
99,40.0,0.0,0.041880751839472014,shrunk_2pt,0.0
47,40.0,0.0,0.04075872356366718,shrunk_2pt,0.0
50,40.0,0.0001,0.046243258224299005,prior_only,0.0
48,40.0,0.0,0.03870392324480088,shrunk_2pt,0.0
95,40.0,0.0001,0.04844025308913485,shrunk_2pt,0.0
46,40.0,0.0,0.03869169947985534,shrunk_2pt,0.0
88,40.0,0.0,0.026258343170883415,shrunk_4pt,0.0
62,40.0,0.0,0.038787270068147854,shrunk_2pt,0.0
86,40.0,0.0,0.02042796468887392,shrunk_4pt,0.0
94,40.0,0.0,0.052099588641748774,shrunk_2pt,0.0
67,40.0,0.0,0.046243258224299005,prior_only,0.0
92,40.0,0.0,0.046243258224299005,prior_only,0.0
96,40.0,0.0,0.040050704265211595,shrunk_2pt,0.0
77,40.0,0.0,0.03869087436772964,shrunk_2pt,0.0
51,40.0,0.0,0.046243258224299005,prior_only,0.0
76,40.0,0.0,0.046243258224299005,prior_only,0.0
71,40.0,0.0,0.038781463130462705,shrunk_2pt,0.0
30,40.0,0.0,0.02806587660059381,shrunk_3pt,0.0
97,40.0,0.0,0.039069238137432856,shrunk_2pt,0.0
12,40.0,0.0,0.046243258224299005,prior_only,0.0
79,40.0,0.0,0.038729145337064154,shrunk_2pt,0.0
81,40.0,0.0,0.046243258224299005,prior_only,0.0
55,40.0,0.0,0.03971511677106638,shrunk_2pt,0.0
83,40.0,0.0,0.03613161278105033,shrunk_3pt,0.0
90,40.0,0.0002,0.07715327858788477,shrunk_3pt,0.0
78,40.0,0.0,0.046243258224299005,prior_only,0.0
98,40.0,0.0,0.046243258224299005,prior_only,0.0
69,40.0,0.0,0.0411616812319351,shrunk_2pt,0.0
93,40.0,0.0,0.046243258224299005,prior_only,0.0
63,40.0,0.0,0.03880601126809399,shrunk_2pt,0.0
80,40.0,0.0,0.02661148274072227,shrunk_3pt,0.0
40,40.0,0.0,0.044010025410574784,shrunk_2pt,0.0
87,40.0,0.0,0.030851601588244317,shrunk_3pt,0.0
91,40.0,0.0,0.046243258224299005,prior_only,0.0
82,40.0,0.0,0.03869014172291746,shrunk_2pt,0.0
85,40.0,0.0,0.04790997476350241,shrunk_2pt,0.0
84,40.0,0.0,0.03936930703783644,shrunk_2pt,0.0
18,40.5,1.0,0.046243258224299005,prior_only,0.0
20,40.5,1.0,0.046243258224299005,prior_only,0.0
22,40.5,1.0,0.046243258224299005,prior_only,0.0
25,40.5,1.0,0.04549751675684551,shrunk_2pt,0.0
3,40.5,1.0,0.046243258224299005,prior_only,0.0
1,40.5,1.0,0.046243258224299005,prior_only,0.0
13,40.5,1.0,0.02327909372548424,shrunk_4pt,0.0
2,40.5,1.0,0.046243258224299005,prior_only,0.0
21,40.5,1.0,0.0444732248868849,shrunk_2pt,0.0
38,40.5,1.0,0.046243258224299005,prior_only,0.0
33,40.5,0.9999,0.046243258224299005,prior_only,0.0
24,40.5,1.0,0.03931674119938526,shrunk_2pt,0.0
7,40.5,0.9995,0.046243258224299005,prior_only,0.0
26,40.5,0.9994,0.046243258224299005,prior_only,0.0
9,40.5,0.9981,0.046243258224299005,prior_only,0.0
42,40.5,0.9939,0.046243258224299005,prior_only,0.0
8,40.5,0.9901,0.04149445919805966,shrunk_2pt,0.0
43,40.5,0.91,0.04141207229588298,shrunk_2pt,0.0
41,40.5,0.8136,0.046243258224299005,prior_only,0.0
5,40.5,0.7671,0.046243258224299005,prior_only,0.0
16,40.5,0.7488,0.046243258224299005,prior_only,0.0
6,40.5,0.7432,0.03987976648050284,shrunk_2pt,0.0
4,40.5,0.6708,0.03929644674190579,shrunk_2pt,0.0
11,40.5,0.511,0.041946262280916496,shrunk_2pt,0.0
58,40.5,0.4968,0.046243258224299005,prior_only,0.0
19,40.5,0.4935,0.04316857399821586,shrunk_2pt,0.0
28,40.5,0.4294,0.028988076157790803,shrunk_4pt,0.0
34,40.5,0.3757,0.03876463319237573,shrunk_2pt,0.0
27,40.5,0.3602,0.03869462782660454,shrunk_2pt,0.0
53,40.5,0.3386,0.04192091505846978,shrunk_2pt,0.0
15,40.5,0.3188,0.046243258224299005,prior_only,0.0
14,40.5,0.1688,0.03990244416748726,shrunk_2pt,0.0
10,40.5,0.1565,0.04229098671158475,shrunk_2pt,0.0
31,40.5,0.1652,0.046243258224299005,prior_only,0.0
23,40.5,0.0842,0.03905647775388147,shrunk_2pt,0.0
36,40.5,0.0748,0.03932308887968287,shrunk_2pt,0.0
49,40.5,0.0692,0.03895325034755685,shrunk_2pt,0.0
52,40.5,0.0588,0.038724948948183756,shrunk_2pt,0.0
35,40.5,0.0917,0.046243258224299005,prior_only,0.0
64,40.5,0.0345,0.043845325043149565,shrunk_2pt,0.0
17,40.5,0.0368,0.046243258224299005,prior_only,0.0
60,40.5,0.0301,0.046243258224299005,prior_only,0.0
39,40.5,0.015,0.04047903264826666,shrunk_2pt,0.0
72,40.5,0.0228,0.04831661441098122,shrunk_2pt,0.0
32,40.5,0.0087,0.0408933423742721,shrunk_2pt,0.0
44,40.5,0.0142,0.046243258224299005,prior_only,0.0
75,40.5,0.0038,0.03869207221304435,shrunk_2pt,0.0
37,40.5,0.0071,0.046243258224299005,prior_only,0.0
29,40.5,0.0054,0.046243258224299005,prior_only,0.0
89,40.5,0.0008,0.040486447600887855,shrunk_2pt,0.0
73,40.5,0.0011,0.046243258224299005,prior_only,0.0
68,40.5,0.0009,0.046243258224299005,prior_only,0.0
57,40.5,0.0001,0.0386898982492774,shrunk_2pt,0.0
59,40.5,0.0005,0.046243258224299005,prior_only,0.0
70,40.5,0.0,0.0390067544937981,shrunk_2pt,0.0
65,40.5,0.0003,0.046243258224299005,prior_only,0.0
56,40.5,0.0,0.03954543516689933,shrunk_2pt,0.0
74,40.5,0.0,0.03885677339974896,shrunk_2pt,0.0
45,40.5,0.0,0.039497491958850224,shrunk_2pt,0.0
61,40.5,0.0,0.040505534023629886,shrunk_2pt,0.0
54,40.5,0.0001,0.042460330670396784,shrunk_2pt,0.0
66,40.5,0.0,0.03881097456312374,shrunk_2pt,0.0
99,40.5,0.0,0.041880751839472014,shrunk_2pt,0.0
47,40.5,0.0,0.04075872356366718,shrunk_2pt,0.0
50,40.5,0.0002,0.046243258224299005,prior_only,0.0
48,40.5,0.0,0.03870392324480088,shrunk_2pt,0.0
95,40.5,0.0002,0.04844025308913485,shrunk_2pt,0.0
46,40.5,0.0,0.03869169947985534,shrunk_2pt,0.0
88,40.5,0.0,0.026258343170883415,shrunk_4pt,0.0
62,40.5,0.0,0.038787270068147854,shrunk_2pt,0.0
86,40.5,0.0,0.02042796468887392,shrunk_4pt,0.0
94,40.5,0.0,0.052099588641748774,shrunk_2pt,0.0
67,40.5,0.0,0.046243258224299005,prior_only,0.0
92,40.5,0.0,0.046243258224299005,prior_only,0.0
96,40.5,0.0,0.040050704265211595,shrunk_2pt,0.0
77,40.5,0.0,0.03869087436772964,shrunk_2pt,0.0
51,40.5,0.0,0.046243258224299005,prior_only,0.0
76,40.5,0.0,0.046243258224299005,prior_only,0.0
71,40.5,0.0,0.038781463130462705,shrunk_2pt,0.0
30,40.5,0.0,0.02806587660059381,shrunk_3pt,0.0
97,40.5,0.0,0.039069238137432856,shrunk_2pt,0.0
12,40.5,0.0,0.046243258224299005,prior_only,0.0
79,40.5,0.0,0.038729145337064154,shrunk_2pt,0.0
81,40.5,0.0,0.046243258224299005,prior_only,0.0
55,40.5,0.0,0.03971511677106638,shrunk_2pt,0.0
83,40.5,0.0,0.03613161278105033,shrunk_3pt,0.0
90,40.5,0.0002,0.07715327858788477,shrunk_3pt,0.0
78,40.5,0.0,0.046243258224299005,prior_only,0.0
98,40.5,0.0,0.046243258224299005,prior_only,0.0
69,40.5,0.0,0.0411616812319351,shrunk_2pt,0.0
93,40.5,0.0,0.046243258224299005,prior_only,0.0
63,40.5,0.0,0.03880601126809399,shrunk_2pt,0.0
80,40.5,0.0,0.02661148274072227,shrunk_3pt,0.0
40,40.5,0.0,0.044010025410574784,shrunk_2pt,0.0
87,40.5,0.0,0.030851601588244317,shrunk_3pt,0.0
91,40.5,0.0,0.046243258224299005,prior_only,0.0
82,40.5,0.0,0.03869014172291746,shrunk_2pt,0.0
85,40.5,0.0,0.04790997476350241,shrunk_2pt,0.0
84,40.5,0.0,0.03936930703783644,shrunk_2pt,0.0
