district,jaccard_similarity,overlap_category,n_precincts_2020,n_precincts_2022,n_precincts_shared,jaccard_interim_final,overlap_category_interim_final,n_precincts_2024,n_precincts_shared_interim_final,years_reliable
1,0.0000,relocated,67,88,0,0.6600,redrawn,78,66,"2022,2024"
2,0.0000,relocated,83,77,0,0.6421,redrawn,79,61,"2022,2024"
3,0.0000,relocated,95,75,0,0.7326,same,74,63,"2022,2024"
4,0.0000,relocated,88,92,0,0.9583,same,96,92,"2022,2024"
5,0.0000,relocated,87,91,0,0.5946,redrawn,86,66,"2022,2024"
6,0.0000,relocated,98,75,0,0.8519,same,75,69,"2022,2024"
7,0.0000,relocated,82,88,0,0.6827,redrawn,87,71,"2022,2024"
8,0.0000,relocated,96,87,0,0.6970,redrawn,81,69,"2022,2024"
9,0.0000,relocated,97,72,0,0.8375,same,75,67,"2022,2024"
10,0.0000,relocated,102,76,0,0.6082,redrawn,80,59,"2022,2024"
11,0.0000,relocated,99,88,0,0.6542,redrawn,89,70,"2022,2024"
12,0.0000,relocated,90,75,0,0.7528,same,81,67,"2022,2024"
13,0.7200,same,82,90,72,0.6306,redrawn,91,70,"2018,2020,2022,2024"
14,0.2171,relocated,76,81,28,0.6000,redrawn,79,60,"2022,2024"
15,0.1301,relocated,74,91,19,0.1210,relocated,85,19,2024
16,0.4914,redrawn,86,87,57,0.2517,relocated,92,36,2024
17,0.0000,relocated,74,86,0,0.2113,relocated,86,30,2024
18,0.0000,relocated,89,119,0,0.0519,relocated,104,11,2024
19,0.0000,relocated,108,96,0,0.5772,redrawn,98,71,"2022,2024"
20,0.0000,relocated,101,124,0,0.6755,redrawn,129,102,"2022,2024"
21,0.0000,relocated,104,99,0,0.7000,same,88,77,"2022,2024"
22,0.0000,relocated,90,101,0,0.0000,relocated,110,0,2024
23,0.0000,relocated,98,92,0,0.8400,same,92,84,"2022,2024"
24,0.0000,relocated,112,73,0,0.7500,same,67,60,"2022,2024"
25,0.0000,relocated,87,69,0,0.6163,redrawn,70,53,"2022,2024"
26,0.0000,relocated,94,87,0,0.2803,relocated,82,37,2024
27,0.6372,redrawn,91,94,72,0.3020,redrawn,100,45,"2022,2024"
28,0.9570,same,92,90,89,0.6126,redrawn,89,68,"2018,2020,2022,2024"
29,0.6292,redrawn,73,72,56,0.7558,same,79,65,"2022,2024"
30,0.7765,same,74,77,66,0.9136,same,78,74,"2018,2020,2022,2024"
31,0.0000,relocated,77,100,0,0.2416,relocated,85,36,2024
32,0.0000,relocated,79,88,0,0.4228,redrawn,87,52,"2022,2024"
33,0.0000,relocated,77,94,0,0.4351,redrawn,94,57,"2022,2024"
34,0.0395,relocated,87,97,7,0.3404,redrawn,92,48,"2022,2024"
35,0.0231,relocated,81,96,4,0.0787,relocated,96,14,2024
36,0.0000,relocated,93,84,0,0.4741,redrawn,87,55,"2022,2024"
37,0.0000,relocated,106,89,0,0.6389,redrawn,88,69,"2022,2024"
38,0.0000,relocated,90,85,0,0.4228,redrawn,90,52,"2022,2024"
39,0.0298,relocated,77,96,5,0.4080,redrawn,80,51,"2022,2024"
40,0.2448,relocated,80,98,35,0.5000,redrawn,100,66,"2022,2024"
41,0.0000,relocated,80,78,0,0.0000,relocated,78,0,2024
42,0.0000,relocated,74,84,0,0.0248,relocated,81,4,2024
43,0.0000,relocated,98,85,0,0.3802,redrawn,82,46,"2022,2024"
44,0.3871,redrawn,85,87,48,0.0617,relocated,85,10,2024
45,0.0000,relocated,83,97,0,1.0000,same,97,97,"2022,2024"
46,0.0000,relocated,81,91,0,1.0000,same,91,91,"2022,2024"
47,0.0000,relocated,83,91,0,1.0000,same,91,91,"2022,2024"
48,0.1772,relocated,88,98,28,0.9798,same,98,97,"2022,2024"
49,0.4390,redrawn,89,88,54,0.9888,same,89,88,"2022,2024"
50,0.0861,relocated,83,81,13,0.9878,same,82,81,"2022,2024"
51,0.0000,relocated,90,98,0,1.0000,same,98,98,"2022,2024"
52,0.0000,relocated,89,78,0,0.8706,same,81,74,"2022,2024"
53,0.0000,relocated,95,81,0,0.8391,same,79,73,"2022,2024"
54,0.0000,relocated,92,87,0,0.5625,redrawn,88,63,"2022,2024"
55,0.0000,relocated,73,93,0,1.0000,same,93,93,"2022,2024"
56,0.0000,relocated,80,86,0,1.0000,same,86,86,"2022,2024"
57,0.0000,relocated,88,86,0,0.8298,same,86,78,"2022,2024"
58,0.3252,redrawn,100,116,53,0.2235,relocated,103,40,2024
59,0.2865,relocated,113,107,49,0.2131,relocated,115,39,2024
60,0.0000,relocated,79,92,0,0.3864,redrawn,91,51,"2022,2024"
61,0.0000,relocated,85,93,0,0.3972,redrawn,104,56,"2022,2024"
62,0.0000,relocated,99,103,0,1.0000,same,103,103,"2022,2024"
63,0.0000,relocated,88,87,0,1.0000,same,87,87,"2022,2024"
64,0.3185,redrawn,80,98,43,0.5280,redrawn,93,66,"2022,2024"
65,0.0000,relocated,105,100,0,0.4965,redrawn,111,70,"2022,2024"
66,0.0000,relocated,93,80,0,1.0000,same,80,80,"2022,2024"
67,0.0000,relocated,111,81,0,1.0000,same,81,81,"2022,2024"
68,0.0000,relocated,110,64,0,0.5875,redrawn,63,47,"2022,2024"
69,0.0000,relocated,86,77,0,0.6186,redrawn,80,60,"2022,2024"
70,0.0000,relocated,82,92,0,1.0000,same,92,92,"2022,2024"
71,0.0000,relocated,69,104,0,0.9905,same,105,104,"2022,2024"
72,0.0000,relocated,85,97,0,0.5194,redrawn,99,67,"2022,2024"
73,0.0000,relocated,95,84,0,0.9655,same,87,84,"2022,2024"
74,0.0786,relocated,89,62,11,1.0000,same,62,62,"2022,2024"
75,0.0000,relocated,94,87,0,0.8021,same,86,77,"2022,2024"
76,0.0000,relocated,95,83,0,1.0000,same,83,83,"2022,2024"
77,0.0000,relocated,86,67,0,1.0000,same,67,67,"2022,2024"
78,0.0000,relocated,92,100,0,0.9901,same,101,100,"2022,2024"
79,0.0000,relocated,76,85,0,0.9444,same,90,85,"2022,2024"
80,0.9604,same,99,99,97,1.0000,same,99,99,"2018,2020,2022,2024"
81,0.5413,redrawn,84,84,59,1.0000,same,84,84,"2022,2024"
82,0.6165,redrawn,108,107,82,0.9346,same,100,100,"2022,2024"
83,0.8958,same,86,96,86,1.0000,same,96,96,"2018,2020,2022,2024"
84,0.6638,redrawn,99,94,77,0.9691,same,97,94,"2022,2024"
85,0.7368,same,81,84,70,0.9882,same,85,84,"2018,2020,2022,2024"
86,0.7308,same,102,78,76,0.9398,same,83,78,"2018,2020,2022,2024"
87,0.8727,same,103,103,96,1.0000,same,103,103,"2018,2020,2022,2024"
88,0.9633,same,105,109,105,1.0000,same,109,109,"2018,2020,2022,2024"
89,0.5317,redrawn,98,95,67,0.5785,redrawn,96,70,"2022,2024"
90,0.7000,same,129,109,98,1.0000,same,109,109,"2018,2020,2022,2024"
91,0.3955,redrawn,95,92,53,1.0000,same,92,92,"2022,2024"
92,0.2812,relocated,102,103,45,1.0000,same,103,103,"2022,2024"
93,0.7333,same,120,140,110,1.0000,same,140,140,"2018,2020,2022,2024"
94,0.6923,redrawn,113,107,90,0.4658,redrawn,107,68,"2022,2024"
95,0.6503,redrawn,119,117,93,0.4937,redrawn,119,78,"2022,2024"
96,0.9692,same,127,129,126,0.9457,same,122,122,"2018,2020,2022,2024"
97,0.8350,same,96,93,86,1.0000,same,93,93,"2018,2020,2022,2024"
98,0.0705,relocated,92,75,11,1.0000,same,75,75,"2022,2024"
99,0.5556,redrawn,112,126,85,0.8626,same,118,113,"2022,2024"
