district,total_active_voters,n_strong_d,n_lean_d,n_crossover,n_unaffiliated,n_lean_r,n_strong_r,n_high_propensity,n_medium_propensity,n_low_propensity,n_very_low_propensity,n_presidential_only,turnout_2020,turnout_2024,turnout_2018,turnout_2022,n_mobilization_targets,n_persuasion_targets,inactive_voters,pct_strong_d,pct_lean_d,pct_crossover,pct_unaffiliated,pct_lean_r,pct_strong_r,partisan_advantage,pct_presidential_only,pct_mobilization_targets,pct_persuasion_targets,turnout_dropoff
1,64537,7672,11755,1745,38474,3451,1440,21653,18783,10316,13785,14232,0.614268,0.704387,0.458187,0.462634,1813,17635,17832,0.118878,0.182144,0.027039,0.596154,0.053473,0.022313,0.225235,0.220525,0.028092,0.273254,0.656790
2,62186,6851,11040,1098,38158,3180,1859,19743,19515,10039,12889,15132,0.629868,0.708889,0.464494,0.421220,1718,17569,15371,0.110169,0.177532,0.017657,0.613611,0.051137,0.029894,0.206670,0.243335,0.027627,0.282523,0.594197
3,56556,8006,12253,1273,31292,2402,1330,18646,16901,9306,11703,12823,0.620518,0.695452,0.466281,0.449254,3379,14355,14303,0.141559,0.216653,0.022509,0.553292,0.042471,0.023517,0.292224,0.226731,0.059746,0.253819,0.645988
4,83161,7106,11151,3832,40611,12546,7915,39838,25792,10545,6986,16832,0.766549,0.864384,0.588786,0.620591,1161,28098,10599,0.085449,0.134089,0.046079,0.488342,0.150864,0.095177,-0.026503,0.202403,0.013961,0.337875,0.717958
5,68432,4950,9642,1710,40661,6898,4571,23294,22764,11058,11316,17547,0.664411,0.762757,0.471110,0.464666,1411,21246,13314,0.072335,0.140899,0.024988,0.594181,0.100801,0.066796,0.045637,0.256415,0.020619,0.310469,0.609192
6,55930,3567,7066,1605,34333,6222,3137,18536,18042,9041,10311,14164,0.644985,0.745092,0.447613,0.462006,1120,17721,12078,0.063776,0.126336,0.028697,0.613857,0.111246,0.056088,0.022778,0.253245,0.020025,0.316842,0.620066
7,68434,8278,10047,3739,33226,8095,5049,32608,19916,9999,5911,14145,0.735614,0.859923,0.569615,0.631835,1124,22224,12179,0.120963,0.146813,0.054637,0.485519,0.118289,0.073779,0.075708,0.206696,0.016425,0.324751,0.734757
8,68241,7110,9978,3506,33165,8911,5571,33609,19977,8322,6333,12922,0.761727,0.851453,0.603376,0.624888,991,23018,9696,0.104190,0.146217,0.051377,0.485998,0.130581,0.081637,0.038188,0.189358,0.014522,0.337305,0.733908
9,60605,5654,10501,1670,34250,5258,3272,22489,19434,9298,9384,14156,0.680620,0.770101,0.504942,0.496164,1850,18757,12135,0.093293,0.173270,0.027555,0.565135,0.086759,0.053989,0.125815,0.233578,0.030526,0.309496,0.644284
10,68861,4313,7727,2269,39318,9374,5860,25498,22649,10565,10149,16826,0.685148,0.785423,0.488607,0.508532,1062,22141,12832,0.062633,0.112212,0.032950,0.570976,0.136129,0.085099,-0.046383,0.244347,0.015422,0.321532,0.647462
11,76799,5046,9268,3824,38442,12473,7746,36249,23694,9922,6934,15529,0.756911,0.856001,0.578028,0.617925,994,26618,10372,0.065704,0.120679,0.049792,0.500553,0.162411,0.100861,-0.076889,0.202203,0.012943,0.346593,0.721874
12,65209,2547,4287,2859,29222,14003,12291,28711,22160,8674,5664,15780,0.763315,0.876505,0.540248,0.581960,659,19056,9841,0.039059,0.065742,0.043844,0.448128,0.214740,0.188486,-0.298425,0.241991,0.010106,0.292230,0.663955
13,59990,8806,10669,2441,32066,4077,1931,22881,20064,8764,8281,14237,0.695549,0.806818,0.504034,0.514936,1705,18739,19697,0.146791,0.177846,0.040690,0.534522,0.067961,0.032189,0.224487,0.237323,0.028421,0.312369,0.638231
